,coordinates,created_at,id,name,text
0,"[[[-78.948466, -0.588618], [-78.948466, 0.255477], [-78.164897, 0.255477], [-78.164897, -0.588618]]]",Fri May 06 21:39:51 +0000 2016,728700829704855552,Eduardo Boada,@AMTQuitoFavor enviar agentes de transito a Rio Coca e Isla Isabela fuerte congestion vehicular segun Alcalde iban a estar permanentes
1,"[[[-78.948466, -0.588618], [-78.948466, 0.255477], [-78.164897, 0.255477], [-78.164897, -0.588618]]]",Fri May 06 21:45:26 +0000 2016,728702237480996864,Eduardo Boada,@MauricioRodasEC Sr. Alcalde fuerte congestion vehicular en Rio Coca e Isla Isabela no hay agentes transito usted dijo iban a ser permanents
2,"[[[-78.948466, -0.588618], [-78.948466, 0.255477], [-78.164897, 0.255477], [-78.164897, -0.588618]]]",Fri May 06 12:57:31 +0000 2016,728569382020976640,Eduardo Boada,Alta congestion en Isla Isabela y Rio Coca ausencia de agentes de transito https://t.co/GZzKAVFkjX
3,"0,0,0,0",Sat May 21 00:26:37 +0000 2016,733816228498821122,Eduardo Ribadeneira,@AMTQuito favor enviar policias de transito sector del cc el bosque tremendo trafico. Sugiero desviar  trafico desde san carlos
4,"[[[-92.008973, -5.013285], [-92.008973, 1.681834], [-75.192627, 1.681834], [-75.192627, -5.013285]]]",Wed May 11 15:36:44 +0000 2016,730421391376404481,ALEXANDRAZAMBRANO,"@MashiRafael Con la medida anterior habia disminuido los accidentes de transito, violencia, escandalos en la vìa publica,"
5,"0,0,0,0",Mon May 30 22:00:59 +0000 2016,737403456848289792,AMT Quito,"Estimada se reporta transito fluido. @karlavalenka, recuerde que a esta hora la carga vehicular se hace mas pesada."
6,"[[[-78.948466, -0.588618], [-78.948466, 0.255477], [-78.164897, 0.255477], [-78.164897, -0.588618]]]",Tue May 10 13:21:29 +0000 2016,730024966943608832,Eduardo Boada,"@AMTQuito vehiculos transitando en contravia en Isla Isabela y Rio Coca, en tramo que se cambio sentido, ausencia de agentes de transito"
7,"[[[-81.328148, -18.349728], [-81.328148, -0.03884], [-68.673088, -0.03884], [-68.673088, -18.349728]]]",Tue May 10 18:02:45 +0000 2016,730095746469511168,Luis Miguel,"@Capital967 @DeltaMdelta LOS COMPROMETIDOS EN ACCIDENTES/INFRACCIONES DE TRANSITO DEBEN PAGAR + X EL SOAT,NO PUEDEN PAGAR = Q NO TIENE NADA"
8,"0,0,0,0",Mon May 23 16:02:31 +0000 2016,734776531399127040,Paul Lovato,@AMTQuito que hacen lo mismo q los semaforos para agilitar el trafico.. no hay duda q son muy eficientes como entidad de transito
9,"[[[-92.008973, -5.013285], [-92.008973, 1.681834], [-75.192627, 1.681834], [-75.192627, -5.013285]]]",Mon May 09 11:24:25 +0000 2016,729633114583109632,Julio César Martínez,"ACCIDENTE DE EN LA AV. FCO DE ORELLANA 3 VEHÍCULOS NO RESPETARON LAS LEYES DE TRANSITO,SALDO PERSONAS GOLPEADAS https://t.co/xuZHan0EOj"
